1299.80 99 (99) 14.65 (0.09) 99 (99) Tustin
1301.63 14.16 (0.05) 14.16 (0.09) 14.20 (0.08) Vaisanen
1303.63 13.44 (0.03) 13.33 (0.07) 99 (99) Vaisanen
1320.71 13.68 (0.03) 13.02 (0.03) 13.21 (0.04) Pahre
1322.71 13.71 (0.03) 13.18 (0.04) 13.25 (0.05) Pahre
1324.64 13.82 (0.03) 13.33 (0.04) 13.31 (0.04) Kenyon
1326.63 13.87 (0.03) 13.51 (0.07) 13.68 (0.07) Kenyon
1327.67 14.01 (0.04) 13.61 (0.07) 13.78 (0.05) Garnavich
1328.64 14.20 (0.05) 13.74 (0.08) 13.72 (0.08) Garnavich
1330.67 14.23 (0.05) 14.07 (0.08) 14.12 (0.08) Megeath
1360.64  99 (99) 15.74 (0.17) 99 (99) Mader
